"SYMBOL
","OPEN
","HIGH
","LOW
","PREV. CLOSE
","LTP
","INDICATIVE CLOSE
","CHNG
","%CHNG
","VOLUME
(shares)","VALUE
 (₹ Crores)","52W H
","52W L
","30 D   %CHNG
","365 D % CHNG
 21-Dec-2023"
"DEVYANI","171.83","174.99","170.81","170.89","172.79","-","1.90","1.11","24,33,719","42.08","222.74","142.25","6.02","-9.59"
"HONASA","258.85","264.40","251.50","257.70","260.50","-","2.80","1.09","14,94,532","38.56","547.00","222.50","-1.67","-37.05"
"DCXINDIA","327.45","344.00","324.90","327.45","331.00","-","3.55","1.08","10,03,595","33.70","451.90","235.30","4.67","-4.16"
"BAYERCROP","5,858.95","5,894.05","5,760.00","5,800.95","5,860.05","-","59.10","1.02","35,135","20.52","7,196.85","4,901.20","3.46","6.60"
"UNOMINDA","1,053.80","1,090.90","1,030.00","1,046.45","1,057.00","-","10.55","1.01","12,16,627","130.06","1,255.00","604.55","1.12","61.26"
"TIMKEN","3,194.10","3,304.05","3,194.05","3,194.10","3,225.00","-","30.90","0.97","1,20,702","39.38","4,817.90","2,524.50","-0.65","2.08"
"JLHL","1,579.10","1,597.90","1,547.80","1,570.80","1,584.00","-","13.20","0.84","31,431","4.94","1,653.95","1,050.00","5.56","36.49"
"HONAUT","41,184.00","41,499.90","40,902.70","40,884.60","41,199.90","-","315.30","0.77","16,122","66.49","59,994.00","34,977.70","-2.20","16.81"
"KAYNES","7,376.40","7,485.00","7,270.00","7,242.75","7,294.95","-","52.20","0.72","9,86,053","727.00","7,780.00","2,424.00","26.45","166.78"
"SUDARSCHEM","1,136.00","1,140.00","1,110.80","1,129.80","1,137.70","-","7.90","0.70","2,69,404","30.42","1,234.45","492.10","20.08","117.25"
"SAPPHIRE","305.55","318.15","305.55","308.15","310.10","-","1.95","0.63","4,07,861","12.74","401.00","259.31","1.78","-77.74"
"UBL","2,023.00","2,049.70","2,015.05","2,020.10","2,032.75","-","12.65","0.63","2,18,386","44.33","2,204.90","1,647.25","9.25","18.93"
"POWERINDIA","13,120.65","13,441.15","13,092.05","13,120.65","13,200.00","-","79.35","0.60","72,185","95.68","16,549.95","4,950.05","13.53","163.68"
"JSWSTEEL","926.00","941.70","912.05","925.95","931.45","-","5.50","0.59","2,90,03,345","2,663.32","1,063.00","761.75","-3.16","8.96"
"APLLTD","1,047.80","1,081.90","1,046.50","1,047.80","1,054.00","-","6.20","0.59","3,04,458","32.30","1,303.90","746.00","1.42","39.80"
"BHARTIHEXA","1,508.50","1,564.50","1,456.25","1,506.50","1,515.00","-","8.50","0.56","59,50,092","894.85","1,609.30","755.00","7.72","-"
"KFINTECH","1,405.00","1,478.40","1,395.00","1,429.05","1,437.00","-","7.95","0.56","36,97,245","534.53","1,478.40","456.25","42.46","197.62"
"IRCON","218.00","220.63","213.16","217.64","218.80","-","1.16","0.53","47,58,321","103.37","351.60","158.50","15.63","30.43"
"TDPOWERSYS","455.00","460.00","445.35","451.80","454.20","-","2.40","0.53","5,58,479","25.29","479.50","256.95","3.10","69.63"
"APOLLOTYRE","527.00","536.00","526.15","530.00","532.35","-","2.35","0.44","26,69,277","142.04","584.90","419.25","9.40","23.64"
"GOPAL","397.00","404.40","395.80","396.25","398.00","-","1.75","0.44","2,88,092","11.52","520.00","301.05","-8.26","-"
"PETRONET","334.75","343.65","333.40","334.75","336.15","-","1.40","0.42","48,46,050","164.54","384.20","206.40","7.17","59.12"
"ICICIBANK","1,283.95","1,297.75","1,272.40","1,286.90","1,292.00","-","5.10","0.40","5,84,91,181","7,532.67","1,362.35","970.15","3.15","28.28"
"DIVISLAB","5,790.00","5,957.25","5,790.00","5,820.75","5,841.35","-","20.60","0.35","4,97,158","292.90","6,285.45","3,350.00","-0.92","60.95"
"GLENMARK","1,530.05","1,560.70","1,530.05","1,540.80","1,545.00","-","4.20","0.27","6,44,522","99.65","1,830.95","771.00","3.28","87.18"
"ICICIGI","1,893.00","1,925.00","1,884.90","1,898.00","1,902.40","-","4.40","0.23","3,98,594","76.01","2,301.90","1,353.50","3.33","35.31"
"APARINDS","9,861.05","10,110.85","9,861.05","9,917.80","9,940.30","-","22.50","0.23","65,585","65.47","11,000.00","5,151.00","4.72","84.19"
"NESTLEIND","2,160.00","2,175.00","2,145.40","2,160.40","2,165.00","-","4.60","0.21","16,51,762","357.54","2,778.00","2,145.40","-2.29","-91.39"
"JAIBALAJI","915.15","945.00","907.00","922.50","924.00","-","1.50","0.16","1,16,157","10.73","1,314.00","703.40","-0.23","-"
"AMBER","6,200.00","6,211.45","6,089.00","6,093.40","6,100.00","-","6.60","0.11","4,75,681","291.91","7,159.00","2,992.50","-0.75","99.39"
"NH","1,290.00","1,302.00","1,275.50","1,287.70","1,289.00","-","1.30","0.10","3,27,093","42.21","1,444.90","1,080.00","2.07","11.44"
"CAMPUS","287.00","290.25","280.20","287.65","287.90","-","0.25","0.09","6,62,177","18.95","371.90","213.00","9.18","0.83"
"ANANTRAJ","850.00","874.00","831.90","837.65","838.00","-","0.35","0.04","43,94,440","374.91","874.00","281.00","29.67","180.24"
"HDFCLIFE","619.70","626.50","618.20","623.55","623.75","-","0.20","0.03","39,96,244","248.95","761.20","511.40","-8.32","-3.17"
"CENTRALBK","54.90","55.80","54.02","54.88","54.88","-","-","-","55,34,072","30.32","76.90","46.20","4.60","11.93"
"LMW","17,540.00","17,742.00","17,301.45","17,624.00","17,624.00","-","-","-","12,127","21.33","19,199.95","12,984.20","13.94","-"
"CONCORDBIO","2,150.00","2,162.95","2,096.05","2,125.20","2,125.00","-","-0.20","-0.01","55,257","11.77","2,664.00","1,322.30","12.02","56.43"
"BERGEPAINT","448.00","448.10","441.95","445.05","445.00","-","-0.05","-0.01","24,78,191","110.38","629.50","439.00","-6.60","-22.53"
"PNBHOUSING","873.00","878.95","843.20","872.10","872.00","-","-0.10","-0.01","14,01,273","121.11","1,202.20","604.00","0.43","12.68"
"ZFCVINDIA","11,661.95","11,749.85","11,550.00","11,631.95","11,629.90","-","-2.05","-0.02","12,431","14.49","18,250.00","11,355.10","-21.55","-24.91"
"FLUOROCHEM","4,343.15","4,365.75","4,280.00","4,325.25","4,323.00","-","-2.25","-0.05","1,88,250","81.51","4,880.95","2,476.00","11.63","27.75"
"IMAGICAA","73.75","74.68","73.43","73.84","73.79","-","-0.05","-0.07","5,78,511","4.26","103.25","54.05","4.47","28.77"
"SAFARI","2,700.00","2,718.95","2,655.00","2,701.00","2,699.00","-","-2.00","-0.07","24,935","6.71","2,744.70","1,648.60","8.71","28.70"
"SAREGAMA","495.25","501.50","489.50","498.05","497.50","-","-0.55","-0.11","3,45,088","17.11","688.90","325.85","5.70","39.20"
"REDINGTON","207.73","211.00","203.61","207.73","207.48","-","-0.25","-0.12","12,71,954","26.31","237.55","158.61","6.09","16.93"
"LLOYDSME","1,149.00","1,182.00","1,120.10","1,141.40","1,139.65","-","-1.75","-0.15","8,69,529","100.77","1,186.00","525.90","19.64","87.00"
"CSBBANK","318.10","320.40","310.20","315.15","314.60","-","-0.55","-0.17","2,65,943","8.39","422.25","292.05","1.68","-20.94"
"360ONE","1,225.35","1,260.00","1,210.35","1,225.35","1,223.15","-","-2.20","-0.18","14,52,337","181.58","1,270.00","591.50","17.27","96.55"
"ITC","466.50","467.45","459.30","466.55","465.65","-","-0.90","-0.19","1,94,81,288","903.81","528.50","399.35","-0.58","2.92"
"PIDILITIND","2,989.90","3,018.90","2,965.95","2,989.00","2,983.00","-","-6.00","-0.20","2,98,958","89.38","3,415.00","2,488.10","-0.84","13.79"
"RRKABEL","1,417.80","1,417.80","1,387.50","1,410.35","1,407.50","-","-2.85","-0.20","1,13,477","15.89","1,901.95","1,310.30","-9.51","-15.19"
"AARTIPHARM","568.00","582.50","565.55","571.20","570.00","-","-1.20","-0.21","2,77,645","15.90","721.70","399.55","-10.11","17.24"
"RADICO","2,538.90","2,554.40","2,455.00","2,520.55","2,515.00","-","-5.55","-0.22","3,36,713","84.56","2,608.95","1,429.85","10.31","57.40"
"JUNIPER","350.35","356.05","344.20","350.85","350.00","-","-0.85","-0.24","1,31,526","4.61","538.25","306.00","8.99","-"
"DISHTV","10.89","11.05","10.77","10.88","10.85","-","-0.03","-0.28","95,49,815","10.36","26.05","10.25","1.40","-44.73"
"KIMS","590.05","601.85","588.00","595.25","593.55","-","-1.70","-0.29","5,40,091","32.09","634.65","350.00","4.53","-69.98"
"NUVAMA","6,871.00","6,939.00","6,800.00","6,871.00","6,851.00","-","-20.00","-0.29","3,47,837","238.90","7,648.00","3,170.70","3.62","86.87"
"ABREL","2,669.00","2,706.60","2,606.60","2,658.20","2,649.85","-","-8.35","-0.31","1,32,788","35.24","3,140.00","1,185.45","2.38","-"
"VENUSPIPES","1,624.10","1,627.40","1,583.65","1,600.10","1,595.00","-","-5.10","-0.32","57,816","9.26","2,450.35","1,293.05","-1.32","19.34"
"NUVOCO","356.30","367.95","348.95","355.20","354.00","-","-1.20","-0.34","3,92,150","14.01","398.00","291.30","4.38","-6.49"
"SBILIFE","1,402.45","1,414.80","1,391.10","1,405.90","1,401.00","-","-4.90","-0.35","15,42,712","216.66","1,936.00","1,307.70","-8.03","-0.22"
"ASTRAZEN","6,441.00","6,534.00","6,440.00","6,500.75","6,478.00","-","-22.75","-0.35","3,430","2.22","8,139.00","4,600.70","-0.13","37.03"
"TITAN","3,350.00","3,419.00","3,333.15","3,356.85","3,344.90","-","-11.95","-0.36","12,35,769","416.52","3,886.95","3,055.65","4.08","-6.25"
"KAJARIACER","1,156.90","1,159.60","1,141.40","1,151.15","1,147.00","-","-4.15","-0.36","89,498","10.29","1,578.70","1,110.35","-1.57","-16.09"
"INDIACEM","340.85","341.45","331.10","340.45","339.20","-","-1.25","-0.37","8,14,478","27.44","385.00","172.55","-4.93","34.93"
"GAIL","194.01","199.78","191.72","193.62","192.89","-","-0.73","-0.38","2,58,18,265","505.55","246.30","134.85","3.07","36.76"
"JWL","538.00","548.50","516.75","536.15","534.10","-","-2.05","-0.38","16,70,223","89.13","748.10","300.50","22.69","65.97"
"GRAPHITE","569.35","572.95","558.00","565.40","563.20","-","-2.20","-0.39","15,83,837","89.65","709.40","460.05","19.02","8.85"
"COROMANDEL","1,854.30","1,858.80","1,819.60","1,845.50","1,838.20","-","-7.30","-0.40","8,07,363","148.54","1,881.90","1,024.60","4.23","52.90"
"NAM-INDIA","751.90","771.85","745.70","750.15","747.00","-","-3.15","-0.42","10,57,374","80.01","816.25","430.00","9.13","64.08"
"GLAND","1,790.00","1,794.80","1,765.00","1,777.60","1,770.00","-","-7.60","-0.43","1,01,436","18.08","2,220.95","1,585.70","-0.60","-2.00"
"FORTIS","681.80","683.55","666.00","677.85","674.95","-","-2.90","-0.43","10,65,409","72.35","740.35","375.05","3.05","70.38"
"AADHARHFC","425.00","434.80","422.50","424.85","423.00","-","-1.85","-0.44","4,85,373","20.80","516.80","292.00","-","-"
"SRF","2,292.00","2,337.15","2,266.15","2,283.95","2,274.00","-","-9.95","-0.44","7,12,404","164.59","2,693.95","2,089.10","3.55","-4.94"
"JUBLPHARMA","1,094.00","1,110.00","1,050.00","1,091.85","1,087.05","-","-4.80","-0.44","1,05,953","11.48","1,309.90","465.00","-6.09","105.70"
"LICI","905.70","914.90","895.35","905.05","901.00","-","-4.05","-0.45","14,01,586","127.13","1,222.00","746.30","0.56","17.95"
"AVALON","1,020.00","1,073.75","978.30","995.55","991.00","-","-4.55","-0.46","17,41,413","177.68","1,073.75","425.00","16.16","85.46"
"THERMAX","4,650.70","4,808.05","4,482.55","4,650.70","4,628.45","-","-22.25","-0.48","3,93,728","182.87","5,839.95","2,910.05","0.45","55.54"
"PAGEIND","49,200.00","49,600.00","48,620.00","49,173.05","48,936.00","-","-237.05","-0.48","32,345","158.47","49,849.95","33,070.05","9.53","31.23"
"BALKRISIND","2,820.90","2,852.55","2,768.50","2,819.50","2,804.95","-","-14.55","-0.52","3,11,015","87.22","3,375.00","2,193.80","0.74","12.52"
"ASIANPAINT","2,297.00","2,318.00","2,276.00","2,291.85","2,280.00","-","-11.85","-0.52","17,19,699","394.66","3,422.95","2,265.35","-8.11","-30.90"
"KPRMILL","1,145.00","1,194.00","1,129.10","1,145.30","1,139.00","-","-6.30","-0.55","12,60,907","147.28","1,194.00","710.00","23.41","37.35"
"BAJAJCON","203.90","206.00","201.00","203.46","202.30","-","-1.16","-0.57","3,65,465","7.41","288.95","199.75","-3.53","-5.57"
"CARBORUNIV","1,312.00","1,372.00","1,296.20","1,322.90","1,314.90","-","-8.00","-0.60","2,73,270","36.33","1,841.15","1,025.60","-6.61","19.22"
"GRINFRA","1,544.00","1,576.60","1,522.85","1,553.00","1,543.60","-","-9.40","-0.61","20,748","3.21","1,860.00","1,078.00","-1.89","28.41"
"LUPIN","2,165.00","2,177.75","2,138.40","2,162.85","2,149.75","-","-13.10","-0.61","11,11,341","240.25","2,312.00","1,200.15","5.52","71.13"
"ORISSAMINE","7,407.35","7,522.60","7,350.00","7,395.00","7,350.00","-","-45.00","-0.61","5,294","3.94","9,721.05","4,734.05","-1.31","2.61"
"IPCALAB","1,607.95","1,616.40","1,578.00","1,594.95","1,585.00","-","-9.95","-0.62","6,83,300","109.33","1,708.65","1,041.00","0.51","48.68"
"GODREJIND","1,137.00","1,144.00","1,116.20","1,127.05","1,120.00","-","-7.05","-0.63","2,84,503","31.91","1,314.00","658.05","8.99","64.33"
"DCAL","276.10","292.00","273.48","276.48","274.75","-","-1.73","-0.63","21,18,628","60.12","307.98","133.00","25.39","78.50"
"AETHER","887.50","897.45","867.35","895.65","890.00","-","-5.65","-0.63","27,059","2.39","1,071.00","761.55","5.86","-2.59"
"VINATIORGA","1,736.00","1,746.80","1,700.00","1,736.00","1,725.00","-","-11.00","-0.63","56,404","9.70","2,330.00","1,462.20","-3.50","0.57"
"INDIASHLTR","697.10","722.00","696.05","704.10","699.60","-","-4.50","-0.64","1,28,038","9.08","799.00","519.15","8.17","23.77"
"NMDC","214.50","219.24","211.10","214.12","212.74","-","-1.38","-0.64","1,91,65,092","413.72","286.35","179.90","-3.65","10.07"
"EICHERMOT","4,748.00","4,822.45","4,720.00","4,771.95","4,740.00","-","-31.95","-0.67","3,86,086","183.97","5,105.00","3,562.45","-4.65","19.62"
"ASAHIINDIA","764.00","767.45","751.55","760.10","755.00","-","-5.10","-0.67","1,08,468","8.23","833.95","501.55","15.31","34.71"
"DABUR","504.00","508.30","500.00","503.95","500.55","-","-3.40","-0.67","32,28,278","163.15","672.00","489.20","-1.11","-5.22"
"SYNGENE","849.95","855.40","840.00","849.95","844.00","-","-5.95","-0.70","6,46,248","54.64","960.60","607.65","-0.80","23.64"
"APOLLOHOSP","7,324.80","7,389.90","7,210.05","7,297.55","7,244.90","-","-52.65","-0.72","3,49,055","255.09","7,545.00","5,284.85","8.45","32.43"
"SUNPHARMA","1,823.30","1,825.95","1,794.10","1,823.30","1,810.00","-","-13.30","-0.73","25,13,418","454.52","1,960.35","1,208.55","1.78","46.64"
"WELCORP","777.85","788.00","758.00","777.70","772.00","-","-5.70","-0.73","4,61,771","35.60","824.45","440.15","13.02","50.69"
"IPL","184.55","185.99","180.00","185.28","183.89","-","-1.39","-0.75","1,67,624","3.08","431.75","173.50","-0.32","-48.21"
"JSFB","385.00","386.95","376.75","383.20","380.30","-","-2.90","-0.76","1,20,637","4.59","760.90","365.00","-8.80","-"
"KOTAKBANK","1,755.00","1,768.85","1,733.35","1,762.10","1,748.70","-","-13.40","-0.76","1,46,85,688","2,562.49","1,942.00","1,543.85","0.91","-5.89"
"HINDALCO","629.35","640.60","620.70","629.35","624.45","-","-4.90","-0.78","59,64,142","374.60","772.65","496.35","-2.71","11.94"
"GODREJCP","1,083.95","1,083.95","1,067.00","1,078.45","1,070.00","-","-8.45","-0.78","19,48,622","209.56","1,541.85","1,025.80","-9.76","-0.31"
"ASHOKLEY","219.74","220.90","216.39","219.22","217.50","-","-1.72","-0.78","78,41,369","170.86","264.65","157.55","-1.83","28.30"
"MARUTI","10,940.00","11,077.00","10,865.95","10,955.35","10,868.90","-","-86.45","-0.79","4,04,608","443.42","13,680.00","9,737.65","-0.53","8.87"
"ICICIPRULI","664.50","664.50","650.10","659.50","654.25","-","-5.25","-0.80","14,18,236","92.96","796.80","463.45","-4.57","26.00"
"USHAMART","376.20","383.60","369.45","375.05","372.00","-","-3.05","-0.81","9,23,654","34.86","451.00","273.05","-5.93","22.82"
"IIFLCAPS","344.10","349.55","335.40","344.10","341.30","-","-2.80","-0.81","4,11,454","14.10","448.95","108.00","-","-"
"BHARTIARTL","1,610.00","1,622.30","1,573.40","1,600.30","1,587.00","-","-13.30","-0.83","97,38,879","1,550.18","1,779.00","960.00","3.45","61.38"
"HINDUNILVR","2,352.10","2,373.50","2,324.65","2,359.85","2,340.10","-","-19.75","-0.84","20,69,691","485.58","3,035.00","2,172.05","-3.17","-8.59"
"SUNTECK","501.40","509.90","491.00","500.80","496.60","-","-4.20","-0.84","2,46,073","12.35","699.00","380.05","-2.99","12.93"
"TORNTPHARM","3,476.25","3,515.35","3,421.40","3,469.15","3,439.95","-","-29.20","-0.84","3,58,325","124.58","3,590.70","2,113.80","11.06","56.57"
"RBA","80.50","81.54","78.25","80.38","79.70","-","-0.68","-0.85","12,84,510","10.23","133.70","77.65","1.13","-28.22"
"AAVAS","1,679.95","1,692.00","1,665.00","1,679.30","1,665.00","-","-14.30","-0.85","4,20,135","70.35","1,978.95","1,307.00","1.51","11.92"
"HCLTECH","1,954.60","1,957.65","1,896.40","1,934.25","1,917.70","-","-16.55","-0.86","37,86,921","725.61","1,980.00","1,235.00","4.99","34.41"
"IOB","53.21","53.68","52.06","53.21","52.75","-","-0.46","-0.86","44,41,746","23.47","83.75","40.75","2.48","20.18"
"TBOTEK","1,699.80","1,722.00","1,666.80","1,699.80","1,685.00","-","-14.80","-0.87","75,489","12.84","2,001.00","1,231.65","10.53","-"
"SCHAEFFLER","3,376.20","3,432.00","3,276.05","3,341.55","3,312.20","-","-29.35","-0.88","1,06,837","35.98","4,951.00","2,743.50","-3.20","5.75"
"HDFCBANK","1,782.20","1,797.55","1,767.05","1,793.50","1,777.10","-","-16.40","-0.91","1,28,46,174","2,284.68","1,880.00","1,363.55","1.68","5.03"
"DREAMFOLKS","406.00","407.70","400.00","403.70","400.00","-","-3.70","-0.92","81,918","3.29","582.00","400.00","-6.20","-25.43"
"APTUS","308.45","311.25","301.25","308.45","305.60","-","-2.85","-0.92","8,47,833","26.11","401.65","286.25","-3.24","-7.40"
"EMAMILTD","600.00","607.70","582.00","598.60","593.00","-","-5.60","-0.94","6,63,305","39.63","860.00","417.10","-8.13","19.63"
"INFY","1,975.15","1,979.95","1,911.25","1,946.20","1,927.80","-","-18.40","-0.95","1,10,56,720","2,136.77","2,006.45","1,358.35","5.34","25.14"
"YATHARTH","638.20","647.00","621.30","632.00","626.00","-","-6.00","-0.95","5,91,070","37.41","693.00","360.00","3.61","69.64"
"RELINFRA","295.40","305.00","287.55","292.55","289.75","-","-2.80","-0.96","15,87,529","47.11","351.00","144.45","12.74","-"
"KOLTEPATIL","370.50","374.35","362.30","370.50","366.95","-","-3.55","-0.96","1,26,996","4.68","585.00","345.00","1.82","-25.35"
"3MINDIA","30,800.05","31,449.85","30,723.10","31,110.25","30,810.00","-","-300.25","-0.97","4,409","13.65","40,856.50","28,498.95","-3.41","-1.74"
"PRAJIND","823.10","826.95","808.65","820.00","812.00","-","-8.00","-0.98","5,84,410","47.55","855.00","448.00","16.59","48.39"
"INDIGO","4,467.00","4,488.00","4,193.35","4,434.05","4,390.75","-","-43.30","-0.98","8,76,328","388.01","5,035.00","2,819.55","8.64","52.48"
"GUJGASLTD","506.85","510.35","498.45","505.85","500.90","-","-4.95","-0.98","4,74,368","23.95","689.95","431.25","10.76","12.68"
"GLS","1,017.15","1,030.00","1,005.50","1,017.15","1,007.15","-","-10.00","-0.98","90,190","9.19","1,335.10","627.15","-6.43","57.60"
"DCMSHRIRAM","1,085.00","1,091.95","1,058.10","1,082.75","1,072.00","-","-10.75","-0.99","65,692","7.06","1,371.10","832.40","-17.84","-0.26"
"ORIENTCEM","340.85","342.25","335.00","340.65","337.25","-","-3.40","-1.00","3,89,536","13.16","379.00","182.00","-0.53","38.66"
"JUBLFOOD","681.40","685.50","668.90","679.35","672.50","-","-6.85","-1.01","8,97,231","60.60","715.45","421.05","9.73","18.96"
"HAPPYFORGE","1,020.00","1,021.65","1,001.05","1,020.90","1,010.00","-","-10.90","-1.07","23,056","2.33","1,299.95","813.20","-6.51","-"
